Rk,Player,Team,Pos,Att,Yds,TD,
3,Todd Gurley,LA,RB,256,1251,17,
4,Joe Mixon,CIN,RB,237,1168,8,
5,Chris Carson,SEA,RB,247,1151,9,
6,Saquon Barkley,NYG,RB,261,1307,11,
7,Marlon Mack,IND,RB,195,908,9,
8,Kareem Hunt,KC,RB,181,824,7,7 or more touchdowns
9,James Conner,PIT,RB,215,973,12,
10,Melvin Gordon,LAC,RB,175,885,10,
13,Phillip Lindsay,DEN,RB,192,1037,9,
14,Christian McCaffrey,CAR,RB,219,1098,7,
15,Derrick Henry,TEN,RB,215,1059,12,
17,Adrian Peterson,WAS,RB,251,1042,7,
20,Nick Chubb,CLE,RB,192,996,8,
21,Aaron Jones,GB,RB,133,728,8,
22,Alvin Kamara,NO,RB,194,883,14,
23,David Johnson,ARI,RB,258,940,7,
24,Jordan Howard,CHI,RB,250,935,9,
38,Alex Collins,BAL,RB,114,411,7,
